country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
ID,KH,VN,,0.0,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,VN,,0.0,0.4,RE_PV_Openfield_Lim_[KH]
ID,KH,VN,,0.0,1.2,RE_WIND_Onshore_Lim_[KH]
ID,KH,VN,,0.0,0.0,RE_WIND_Offshore_Lim_[KH]
ID,KH,VN,,0.0,0.0,PP_CO2_[KH]
ID,KH,VN,,0.0,0.0,BESS_[KH]
ID,KH,VN,,0.0,0.1,EL_to_HTH_[KH]
ID,KH,VN,,0.0,0.0,EL_to_NH3_[KH]
ID,KH,VN,,0.0,1.1,NH3_Storage_[KH]
ID,KH,VN,,0.0,0.0,NH3_to_EL_[KH]
ID,KH,VN,,0.0,0.0,NH3_to_HTH_[KH]
ID,KH,VN,,0.0,0.0,FF_to_HTH_[KH]
ID,KH,VN,,0.0,0.0,EL_Demand_[KH]
ID,KH,VN,,0.0,0.0,HTH_Demand_[KH]
ID,KH,VN,,0.0,0.0,RE_PV_Rooftop_Lim_[VN]
ID,KH,VN,,0.0,0.0,RE_PV_Openfield_Lim_[VN]
ID,KH,VN,,0.0,0.0,RE_WIND_Onshore_Lim_[VN]
ID,KH,VN,,0.0,14.4,RE_WIND_Offshore_Lim_[VN]
ID,KH,VN,,0.0,0.0,PP_CO2_[VN]
ID,KH,VN,,0.0,0.0,BESS_[VN]
ID,KH,VN,,0.0,0.5,EL_to_HTH_[VN]
ID,KH,VN,,0.0,1.3,EL_to_NH3_[VN]
ID,KH,VN,,0.0,4.7,NH3_Storage_[VN]
ID,KH,VN,,0.0,0.0,NH3_to_EL_[VN]
ID,KH,VN,,0.0,0.1,NH3_to_HTH_[VN]
ID,KH,VN,,0.0,0.0,FF_to_HTH_[VN]
ID,KH,VN,,0.0,0.0,EL_Demand_[VN]
ID,KH,VN,,0.0,0.0,HTH_Demand_[VN]
ID,KH,VN,,0.0,0.0,RE_PV_Rooftop_Lim_[ID]
ID,KH,VN,,0.0,5.1,RE_PV_Openfield_Lim_[ID]
ID,KH,VN,,0.0,23.0,RE_WIND_Onshore_Lim_[ID]
ID,KH,VN,,0.0,12.6,RE_WIND_Offshore_Lim_[ID]
ID,KH,VN,,0.0,0.0,PP_CO2_[ID]
ID,KH,VN,,0.0,0.5,BESS_[ID]
ID,KH,VN,,0.0,1.3,EL_to_HTH_[ID]
ID,KH,VN,,0.0,1.6,EL_to_NH3_[ID]
ID,KH,VN,,0.0,6.1,NH3_Storage_[ID]
ID,KH,VN,,0.0,0.0,NH3_to_EL_[ID]
ID,KH,VN,,0.0,0.2,NH3_to_HTH_[ID]
ID,KH,VN,,0.0,0.0,FF_to_HTH_[ID]
ID,KH,VN,,0.0,0.0,EL_Demand_[ID]
ID,KH,VN,,0.0,0.0,HTH_Demand_[ID]
ID,KH,VN,,0.0,0.0,NH3_Transport_[KH-VN]
ID,KH,VN,,0.0,0.1,EL_Transport_[KH-VN]
ID,KH,VN,,0.0,0.0,NH3_Transport_[KH-ID]
ID,KH,VN,,0.0,0.1,EL_Transport_[KH-ID]
ID,KH,VN,,0.0,0.1,NH3_Transport_[VN-ID]
ID,KH,VN,,0.0,4.2,EL_Transport_[VN-ID]
ID,KH,VN,,29.1,0.0,RE_PV_Rooftop_Lim_[KH]
ID,KH,VN,,29.1,0.5,RE_PV_Openfield_Lim_[KH]
ID,KH,VN,,29.1,1.1,RE_WIND_Onshore_Lim_[KH]
ID,KH,VN,,29.1,0.0,RE_WIND_Offshore_Lim_[KH]
ID,KH,VN,,29.1,0.0,PP_CO2_[KH]
ID,KH,VN,,29.1,0.0,BESS_[KH]
ID,KH,VN,,29.1,0.1,EL_to_HTH_[KH]
ID,KH,VN,,29.1,0.1,EL_to_NH3_[KH]
ID,KH,VN,,29.1,0.2,NH3_Storage_[KH]
ID,KH,VN,,29.1,0.0,NH3_to_EL_[KH]
