Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,17,17,1317
1,RE_PV_Rooftop_Lim,17,17,17
2,RE_PV_Openfield_Lim,17,17,17
3,RE_WIND_Onshore_Lim,17,17,17
4,RE_WIND_Offshore_Lim,17,17,17
5,PP_CO2,17,17,17
6,BESS,17,17,17
7,EL_to_HTH,17,17,17
8,EL_to_NH3,17,17,17
9,NH3_Storage,17,17,17
10,NH3_to_EL,17,17,17
11,NH3_to_HTH,17,17,17
12,FF_to_HTH,17,17,17
13,EL_Demand,17,17,17
14,HTH_Demand,17,17,17
15,RE_PV_Rooftop_Lim,2,2,2
16,RE_PV_Openfield_Lim,2,2,2
17,RE_WIND_Onshore_Lim,2,2,2
18,RE_WIND_Offshore_Lim,2,2,2
19,PP_CO2,2,2,2
20,BESS,2,2,2
21,EL_to_HTH,2,2,2
22,EL_to_NH3,2,2,2
23,NH3_Storage,2,2,2
24,NH3_to_EL,2,2,2
25,NH3_to_HTH,2,2,2
26,FF_to_HTH,2,2,2
27,EL_Demand,2,2,2
28,HTH_Demand,2,2,2
