country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_name
SG,MY,VN,,174.1,0.0,RE_PV_Rooftop_Lim_[VN]
SG,MY,VN,,174.1,0.6,RE_PV_Openfield_Lim_[VN]
SG,MY,VN,,174.1,0.0,RE_WIND_Onshore_Lim_[VN]
SG,MY,VN,,174.1,6.2,RE_WIND_Offshore_Lim_[VN]
SG,MY,VN,,174.1,3.1,PP_CO2_[VN]
SG,MY,VN,,174.1,0.0,BESS_[VN]
SG,MY,VN,,174.1,0.5,EL_to_HTH_[VN]
SG,MY,VN,,174.1,0.0,EL_to_NH3_[VN]
SG,MY,VN,,174.1,0.0,NH3_Storage_[VN]
SG,MY,VN,,174.1,0.0,NH3_to_EL_[VN]
SG,MY,VN,,174.1,0.0,NH3_to_HTH_[VN]
SG,MY,VN,,174.1,3.4,FF_to_HTH_[VN]
SG,MY,VN,,174.1,0.0,EL_Demand_[VN]
SG,MY,VN,,174.1,0.0,HTH_Demand_[VN]
SG,MY,VN,,174.1,0.0,RE_PV_Rooftop_Lim_[MY]
SG,MY,VN,,174.1,1.2,RE_PV_Openfield_Lim_[MY]
SG,MY,VN,,174.1,3.2,RE_WIND_Onshore_Lim_[MY]
SG,MY,VN,,174.1,0.2,RE_WIND_Offshore_Lim_[MY]
SG,MY,VN,,174.1,3.2,PP_CO2_[MY]
SG,MY,VN,,174.1,0.1,BESS_[MY]
SG,MY,VN,,174.1,0.1,EL_to_HTH_[MY]
SG,MY,VN,,174.1,0.0,EL_to_NH3_[MY]
SG,MY,VN,,174.1,0.0,NH3_Storage_[MY]
SG,MY,VN,,174.1,0.0,NH3_to_EL_[MY]
SG,MY,VN,,174.1,0.0,NH3_to_HTH_[MY]
SG,MY,VN,,174.1,1.5,FF_to_HTH_[MY]
SG,MY,VN,,174.1,0.0,EL_Demand_[MY]
SG,MY,VN,,174.1,0.0,HTH_Demand_[MY]
SG,MY,VN,,174.1,0.0,RE_PV_Rooftop_Lim_[SG]
SG,MY,VN,,174.1,0.0,RE_PV_Openfield_Lim_[SG]
SG,MY,VN,,174.1,0.0,RE_WIND_Onshore_Lim_[SG]
SG,MY,VN,,174.1,0.0,RE_WIND_Offshore_Lim_[SG]
